Cycling PVL,PVL Differentiated s3,PVL Immature s1,PVL Immature s2
ACTA2,ACTA2,CCL19,RGS5
TIMP1,TAGLN,CCL2,NDUFA4L2
NDUFA4L2,MYL9,CCL21,COL18A1
THY1,TPM2,RGS5,IGFBP7
RGS5,NDUFA4L2,IGFBP7,THY1
COL4A2,SOD3,IGFBP5,SPARC
COL4A1,ADIRF,CALD1,LHFP
CALD1,MYH11,TAGLN,CPE
COL18A1,RGS5,ACTA2,COL4A1
MYL9,RERGL,MYL9,HIGD1B
LGALS1,IGFBP7,LHFP,COL4A2
SPARC,CALD1,STEAP4,TIMP1
TPM2,SPARCL1,TIMP3,PDGFRB
IGFBP7,MT1M,NDUFA4L2,COX4I2
TUBA1B,C11orf96,MT1M,CALD1
BGN,PPP1R14A,COL18A1,BGN
SDC2,MFGE8,THY1,NOTCH3
TAGLN,PLAC9,C2orf40,COL6A2
MYLK,DSTN,GGT5,SPARCL1
COL1A1,PTP4A3,SERPING1,CD36
TYMS,MCAM,MT2A,PCOLCE
TPM1,SORBS2,C11orf96,PLXDC1
COL6A2,COL18A1,CCL8,TPPP3
COL1A2,TINAGL1,TPM2,GJA4
RARRES2,CAV1,CPE,4-Sep
PCOLCE,TPM1,C1S,MFGE8
COL6A1,MT1E,NOTCH3,MYO1B
SOD3,PLN,SOD3,PTP4A3
FN1,CSRP2,COL4A2,SERPING1
STMN1,PRKCDBP,COL4A1,A2M
MCAM,MYLK,C1R,KCNJ8
COL5A2,FRZB,TIMP1,FAM162B
FRZB,IGFBP5,FILIP1L,MYL9
TK1,NOTCH3,MT1A,UACA
TUBB,CRYAB,NR2F2,STEAP4
UACA,LHFP,RGS16,FRZB
PLAC9,MAP3K7CL,PDGFRB,IFITM3
COL3A1,GJA4,IFITM3,COL6A1
RANBP1,MAP1B,BGN,PLAC9
PRKCDBP,4-Sep,SPARC,RASD1
HMGN2,ADAMTS1,MYC,TPM2
MAP1B,BGN,MAP1B,SOD3
C11orf96,CSRP1,SYNPO2,MCAM
CPE,MT1A,MT1E,CD248
LINC00152,GPX3,COL6A2,CCDC102B
4-Sep,CPE,PCOLCE,ITGB1
MEF2C,BCAM,EPS8,FN1
EGFL6,PGF,TINAGL1,PGF
ITGA1,ID3,GJA4,PPP1R14A
ITGB1,MT2A,FHL1,TFPI
SERPINH1,TSC22D1,CAV1,EPS8
MIR4435-2HG,PTRF,CFH,ACTA2
ID3,WFDC1,EGR1,COL3A1
PPP1R14A,NTRK2,TPM1,SERPINF1
MFGE8,C1QTNF1,ADAMTS1,LGALS1
H2AFZ,CCL2,TFPI,LGALS3BP
PTN,TIMP3,ADAMTS4,GUCY1B3
HIGD1B,CRISPLD2,CRISPLD2,MEF2C
JAG1,AC013461.1,A2M,TPM1
GPX3,LMOD1,CD36,NR2F2
DUT,PHLDA2,GPX3,COL1A2
MAP3K7CL,COX4I2,PRRX1,ABCC9
KIAA0101,FLNA,KCNJ8,ITGA1
GUCY1B3,PDGFRB,C10orf10,TGFB1I1
VPS29,MGST3,OLFML2B,CAV1
PTTG1,NET1,PPP1R14A,ID3
7-Sep,JAG1,COX4I2,ENPEP
MINOS1,GADD45B,PLAC9,FABP4
CALU,FILIP1L,MFGE8,FILIP1L
TPPP3,ISYNA1,GEM,CYGB
CAV1,CDKN1A,SMOC2,MAP1B
COL5A3,CNN1,FABP4,SERPINH1
PTRF,TGFB1I1,CYR61,ADIRF
CD59,IFITM3,CCDC102B,MIR4435-2HG
POSTN,RGS16,FRZB,COL5A2
PDGFRB,HIGD1B,CXCL12,EBF1
NUCKS1,EGR1,ISYNA1,GJC1
HIST1H4C,OAZ2,ID3,EDNRA
LHFP,CAV2,HIGD1B,LAMA4
CYB5R3,DKK3,RARRES2,OLFML2A
SPARCL1,A2M,SERPINF1,TINAGL1
COX4I2,PDK4,FHL2,LINC00152
WFDC1,EPAS1,CNN3,PHLDA1
ENPEP,LBH,ANGPTL4,GGT5
SERPINF1,FXYD1,TMEM176A,COL6A3
FILIP1L,PTK2,4-Sep,7-Sep
TPM4,TPPP3,PTRF,TBX2
TGFB1I1,EDNRA,SOCS3,CD63
COL6A3,VIM,ABCC9,GUCY1A3
PCNA,SERPING1,MYLK,OAZ2
BIRC5,7-Sep,SPARCL1,PTK2
PKIG,C10orf10,FAM162B,RGS16
TOP2A,CASQ2,EPHX1,C20orf27
PGF,MEF2C,IGFBP4,FXYD6
VIM,CEBPD,CHN1,TIMP3
ADIRF,RASD1,MYO1B,PMEPA1
MGST3,SLIT3,CD63,C11orf96
CENPF,RCAN2,ADIRF,SMOC2
GJA4,SDC2,SSTR2,EHD2
LAMC1,S100A4,PHLDA1,INAFM1
