CTSZ,LGALS2,CD14,FCGR3A,LSP1,CD74,FCGRT,PSAP,SLC11A1,HLA-DPB1,CD74,HLA-DMA,SPI1
HLA-DRB1,NUB1,CTSZ,GPX1,WDFY4,SERPINF1,MRC1,NAMPT,C15orf48,MS4A6A,FCER1G,PLAUR,NPC2
STMN1,HLA-DRB5,MS4A6A,GRN,HLA-DMA,LDLRAD4,GPX1,PILRA,SPI1,SOD2,FCGR3A,CD83,FCN1
HLA-DPB1,GPR183,HLA-DRB1,NPC2,NAAA,TCF4,SLCO2B1,FGR,THBS1,HLA-DQB1,GPX1,G0S2,CD68
TUBB,HLA-DQA2,HLA-DPA1,CST3,GSTP1,PTCRA,VSIG4,IFI30,OLR1,CCL2,LYZ,TYROBP,CXCL10
HLA-DQB1,CFLAR,CAPG,SEPP1,RGS10,UGCG,ADAP2,LYZ,MS4A6A,C15orf48,HLA-DRB5,FCER1G,CXCL2
CST3,TNFAIP2,GPNMB,TMEM176B,SERPINB1,LILRB4,CD209,CFD,GPX1,FCGR3A,FCGR2A,AIF1,C1orf162
CCL2,DAPP1,GRN,MS4A7,FGL2,MPEG1,CD163,HMOX1,PPIF,PSAP,FOLR2,GPX1,BCL2A1
HIST1H4C,TFPI2,SOD2,HLA-DMA,CD83,RNASE6,FCGBP,HCK,IL1RN,SERPINA1,PSAP,GPR183,HLA-DMA
H2AFZ,PLEK,NPC2,TREM2,PPT1,SMPD3,SAT1,FGL2,PLEK,TNFSF13B,CXCL2,INSIG1,CD14
HLA-DQA1,BASP1,CD74,CTSS,RAB7B,CD83,CSF1R,RNF144B,COTL1,TYMP,HLA-DQB1,MNDA,CYBB
PSAP,PPA1,HLA-DPB1,FOLR2,LCP1,NPC2,TMEM176A,FAM26F,C1orf162,GRN,CYBB,CCL17,FAM26F
IL1B,KIF2A,PLAUR,TMEM176A,PPIF,MYBL2,TMIGD3,SOD2,CYBB,SPI1,FCGRT,SGK1,HBEGF
CCL3,RGS1,HLA-DQA1,CTSC,S100A10,SPIB,FOLR2,CD68,CXCL3,APOBEC3A,STAB1,HLA-DMB,FCGR3A
GRN,GRSF1,TREM2,SPI1,UCP2,DERL3,SIGLEC1,C1orf162,TYMP,IFIT2,SGK1,CPVL,FGL2
CYBB,ID2,CTSS,CYBB,BASP1,CLEC4C,CST3,NAAA,FGL2,CTSC,CD83,CTSH,SOD2
CTSD,SYNGR2,CSTB,SERPINA1,PTPRE,CLN8,MMP19,LYN,NLRP3,IL1B,CST3,JAML,RGS2
MNDA,CD40,LGMN,LGMN,AIF1,DUSP5,MS4A4A,S100A4,RGS2,CD14,LGMN,IGSF6,TYMP
SERPINA1,TUBA1C,MMP9,MS4A4A,MPEG1,DNASE1L3,CCL3,PLAC8,CSTA,CXCL8,CCL4L2,PLEK,CTSS
CD14,SERPINB1,GLUL,CTSZ,CXCL16,TYROBP,ABCA1,TNFRSF1B,MNDA,SPP1,PLAUR,RGS2,LGALS2
LAPTM5,TMEM176B,MS4A7,CAPG,TAP1,MZB1,ISG15,MAFB,CD300E,TMEM176B,MRC1,NR4A3,MNDA
TGFBI,TYROBP,SPI1,FCGR2A,BID,MAP1A,HBEGF,MTSS1,CXCL10,CCL3L3,CTSZ,CXCL16,GRN
MKI67,DUSP5,FCGR2A,GPNMB,SHTN1,TXN,PSAP,EMP3,CST3,CTSD,SAT1,ITGB2,CXCL3
YWHAH,GPR157,HLA-DQB1,FCGRT,WARS,SLC15A4,LYVE1,EREG,TIMP1,CYBB,CSF1R,PHACTR1,SAT1
