T cells c0 CD4 CCR7,T cells c1 CD4 IL7R,T cells c2 CD4 T regs FOXP3,T cells c3 CD4 Tfh CXCL13,T cells c4 CD8 ZFP36,T cells c5 CD8 GZMK,T cells c6 IFIT1,T cells c7 CD8 IFNG,T cells c8 CD8 LAG3,T cells c9 NK cells AREG,T cells c10 NKT cells FCGR3A,T cells c11 MKI67
CCR7,IL7R,TNFRSF4,CXCL13,XCL1,GZMK,ISG15,CCL4,CCL5,GNLY,GNLY,HIST1H4C
LTB,ANXA1,LTB,NMB,CCL5,CST7,ISG20,CCL4L2,CD8A,XCL1,NKG7,STMN1
IL7R,CXCR4,IL32,NR3C1,ZNF683,CD8A,MX1,GZMK,CCL4L2,XCL2,GZMB,HMGB2
SARAF,KLRB1,BATF,DUSP4,CD69,ZFP36L2,IFITM1,IFNG,GZMB,AREG,FGFBP2,TYMS
SELL,TNFAIP3,FOXP3,TNFRSF18,CCL4,CCL5,OASL,CCL5,NKG7,KLRD1,PRF1,MKI67
CD3E,RGCC,TIGIT,CD200,XCL2,DUSP2,IFIT3,GZMA,CCL4,NKG7,KLRD1,CXCL13
ZFP36L2,CD69,TNFRSF18,TNFRSF4,GNLY,CD8B,RSAD2,NKG7,CXCL13,TRDC,GZMH,TUBB
GPR183,CD40LG,CTLA4,ITM2A,CD8A,NKG7,IFIT2,GZMH,CD8B,KLRC1,CCL4,HMGN2
BTG1,TSC22D3,CARD16,CD2,RP11-291B21.2,GZMM,CCL5,CST7,GZMA,GZMB,GZMA,TUBA1B
PASK,CREM,TRAC,SRGN,RGCC,GZMA,GZMK,CD8A,TRBV7-9,CTSW,CST7,RRM2
YPEL5,CD52,IL2RA,IGFL2,CD7,CD3E,IFIT1,XCL2,LAG3,KLRB1,CTSW,UBE2C
FXYD5,GPR183,CD27,CTLA4,IFNG,CRTAM,IFI6,CD8B,KRT86,CD7,KLRB1,PTTG1
LEPROTL1,YPEL5,DUSP4,KLRB1,TUBA4A,PASK,IFI44L,CRTAM,GZMH,HOPX,KLRF1,CENPF
CD40LG,SRGN,ICOS,RGS1,CTSW,LIMD2,OAS1,DUSP2,CD7,CCL5,MYOM2,CORO1A
SLC2A3,CD3D,CD2,TIGIT,CD8B,BTG1,MX2,TNF,IFNG,CD69,FCGR3A,NUSAP1
LDHB,CD2,PMAIP1,CD3D,CXCR4,CORO1A,GZMA,CXCR4,CTSW,CMC1,PLAC8,TOP2A
EEF1B2,TRAC,RGS1,CD40LG,DUSP2,IL7R,STAT1,CD3D,ALOX5AP,GZMA,CCL5,HIST1H1E
CYTIP,GPR171,AC133644.2,BATF,ANXA1,LCK,LY6E,CD69,XCL2,IL2RB,SPON2,PFN1
FYB,BIRC3,TNFRSF9,SH2D1A,IL7R,CD27,EPSTI1,SLA,CST7,CCL4,HOPX,HMGB1
CREM,PTGER4,TNFRSF1B,RBPJ,ZFP36L2,LINC-PINT,SAMD9L,XCL1,CXCR6,DUSP2,CD247,H2AFZ
RHOH,SLC2A3,SPOCK2,PDCD1,CST7,SH2D1A,EIF2AK2,CTSW,ZNF683,REL,TRDC,RAC2
LIMD2,ZFP36L2,TBC1D4,RNF19A,DNAJB1,HCST,TRIM22,GZMB,PRF1,ZNF683,GZMM,ASPM
GIMAP7,LEPROTL1,IL2RG,FKBP5,TNFAIP3,CCR7,IRF7,CD3E,TRAV19,SRGN,CCL3,SMC4
TCF7,CD3E,BIRC3,TRAC,KLRD1,RAC2,HERC5,PTPRC,CD3E,SYTL3,HCST,COTL1
RGCC,ICOS,S100A4,FYB,NKG7,SARAF,RNF213,APOBEC3G,RP11-291B21.2,TNFRSF18,CCL4L2,PSMB9
CD48,CYTIP,RTKN2,CD3E,HOPX,COTL1,CD8A,CLEC2B,XCL1,CST7,CLIC3,H2AFV
RPSA,TAGAP,CD7,PGM2L1,LDLRAD4,KLRG1,EVL,TAGAP,TIGIT,MATK,CMC1,ANP32B
PABPC1,SAMSN1,ARID5B,IL21,CD3E,MBP,PSMB9,CD52,APOBEC3G,LDLRAD4,ITGB2,TMPO
FLT3LG,PPP2R5C,GK,TOX,TSC22D3,HLA-C,RAC2,TUBA4A,LSP1,FCER1G,IFNG,CENPM
CD3D,PTPRC,CD3D,SPOCK2,CLEC2B,STK17A,CMPK2,HCST,CD27,PRF1,XCL2,CALM3
TSC22D3,ELF1,TRBC2,BIRC3,HCST,GIMAP7,SAMD9,GZMM,CD3D,KLRF1,MATK,GZMB
GPSM3,TRAT1,TRBC1,PTPRC,YPEL5,TC2N,XAF1,CD2,PDCD1,KRT86,BIN2,LSP1
ANXA1,TRBC2,CREM,LAT,PTPN22,FYB,IFI35,RGS1,CORO1A,CRTAM,S1PR5,DUT
CAMK4,RORA,CYTIP,TRBC2,BTG1,HLA-A,TAP1,DUSP4,HCST,TYROBP,KLRC1,CDK1
PIK3IP1,RGS1,SAMSN1,SAMSN1,CD52,DENND2D,CD3E,SH2D1A,IL2RG,ADGRE5,PYHIN1,CD8A
MAL,LINC-PINT,PIM2,SLA,CD3D,PTPRC,SP100,ZNF683,CCL3,HCST,C12orf75,TPX2
ARHGDIB,STK4,SH2D2A,GK,NR4A2,FCMR,UBE2L6,ALOX5AP,CRTAM,GPR65,SYTL3,NKG7
LEF1,DUSP2,GBP5,ALOX5AP,DNAJA1,SELL,CD69,TRBC2,CLEC2B,CXCR4,CD7,HIST1H1B
CORO1A,TRBC1,CD3E,TRBC1,CYTIP,HLA-E,ZFP36L2,TRAC,CD2,CLEC2B,TRBC1,DEK
SPOCK2,CCR7,STK17B,STK4,PPP2R5C,6-Sep,LAG3,IL32,LCK,RGCC,GPR65,ANP32E
FCMR,ARHGAP15,PTPRC,UCP2,GZMB,GIMAP4,CORO1A,CD3G,TNFRSF9,CLIC3,CYBA,CKS1B
PTPRC,TUBA4A,RAC2,ARID5B,PTPRC,CD3G,NT5C3A,RGCC,SH3BGRL3,TNFAIP3,CCND3,CCNA2
RPS29,LTB,IKZF2,ICOS,IL32,ITM2C,CD48,KLRD1,RAC2,CD247,LAIR2,CLSPN
GLTSCR2,RHOH,LCK,TRAT1,CD96,FYN,NKG7,CD96,DUSP4,IFITM2,GNG2,RAN
CXCR4,NR4A2,PELI1,MAF,RHOH,IL32,CD8B,RP11-291B21.2,IL32,APOBEC3G,APOBEC3G,CDKN3
CD6,FYB,CACYBP,IL2RG,STK17A,ACAP1,GBP1,CYTIP,EVL,TXK,FCER1G,ARPC2
TRAT1,GLIPR1,SOD1,BTLA,TRBC2,TSC22D3,LIMD2,TRBC1,HAVCR2,NR4A2,CD53,C12orf75
TRBC2,FYN,LAT,CPM,TAGAP,KLF2,GBP5,COTL1,CD3G,SH2D1B,LINC00861,PCNA
CD37,CD48,MAGEH1,CD82,PARP8,NFATC2,CST7,RHOH,APOBEC3C,PLAC8,CX3CR1,ZWINT
