p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,classification tier,avg_strength,cluster0,celltype
0,1.426708278,0.607,0.077,0,T cells c0 CD4 CCR7,CCR7,subset,1.426708278,T_cells_c0_CD4+_CCR7,T
0,1.362373251,0.795,0.181,0,T cells c0 CD4 CCR7,LTB,subset,1.362373251,T_cells_c0_CD4+_CCR7,T
0,1.35442383,0.878,0.208,0,T cells c0 CD4 CCR7,IL7R,subset,1.35442383,T_cells_c0_CD4+_CCR7,T
0,1.07270864,0.95,0.752,0,T cells c0 CD4 CCR7,SARAF,subset,1.07270864,T_cells_c0_CD4+_CCR7,T
0,1.01297926,0.467,0.099,0,T cells c0 CD4 CCR7,SELL,subset,1.01297926,T_cells_c0_CD4+_CCR7,T
0,0.963621761,0.84,0.242,0,T cells c0 CD4 CCR7,CD3E,subset,0.963621761,T_cells_c0_CD4+_CCR7,T
0,0.937442161,0.922,0.734,0,T cells c0 CD4 CCR7,ZFP36L2,subset,0.937442161,T_cells_c0_CD4+_CCR7,T
0,0.933590997,0.537,0.157,0,T cells c0 CD4 CCR7,GPR183,subset,0.933590997,T_cells_c0_CD4+_CCR7,T
0,0.918236805,0.979,0.821,0,T cells c0 CD4 CCR7,BTG1,subset,0.918236805,T_cells_c0_CD4+_CCR7,T
0,0.895080576,0.299,0.044,0,T cells c0 CD4 CCR7,PASK,subset,0.895080576,T_cells_c0_CD4+_CCR7,T
0,1.780750551,0.818,0.193,0,T cells c1 CD4 IL7R,IL7R,subset,1.780750551,T_cells_c1_CD4+_IL7R,T
0,1.425017933,0.762,0.449,0,T cells c1 CD4 IL7R,ANXA1,subset,1.425017933,T_cells_c1_CD4+_IL7R,T
0,1.396877649,0.829,0.384,0,T cells c1 CD4 IL7R,CXCR4,subset,1.396877649,T_cells_c1_CD4+_IL7R,T
0,1.25640848,0.37,0.081,0,T cells c1 CD4 IL7R,KLRB1,subset,1.25640848,T_cells_c1_CD4+_IL7R,T
0,1.159900993,0.739,0.406,0,T cells c1 CD4 IL7R,TNFAIP3,subset,1.159900993,T_cells_c1_CD4+_IL7R,T
0,1.159024014,0.652,0.35,0,T cells c1 CD4 IL7R,RGCC,subset,1.159024014,T_cells_c1_CD4+_IL7R,T
0,1.106531943,0.711,0.264,0,T cells c1 CD4 IL7R,CD69,subset,1.106531943,T_cells_c1_CD4+_IL7R,T
0,1.087649343,0.264,0.035,0,T cells c1 CD4 IL7R,CD40LG,subset,1.087649343,T_cells_c1_CD4+_IL7R,T
0,1.011217302,0.817,0.671,0,T cells c1 CD4 IL7R,TSC22D3,subset,1.011217302,T_cells_c1_CD4+_IL7R,T
0,1.007758444,0.609,0.378,0,T cells c1 CD4 IL7R,CREM,subset,1.007758444,T_cells_c1_CD4+_IL7R,T
0,1.892898864,0.517,0.072,0,T cells c2 CD4 T regs FOXP3,TNFRSF4,subset,1.892898864,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.822802871,0.747,0.188,0,T cells c2 CD4 T regs FOXP3,LTB,subset,1.822802871,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.81992586,0.912,0.375,0,T cells c2 CD4 T regs FOXP3,IL32,subset,1.81992586,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.771432305,0.646,0.169,0,T cells c2 CD4 T regs FOXP3,BATF,subset,1.771432305,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.696968165,0.498,0.01,0,T cells c2 CD4 T regs FOXP3,FOXP3,subset,1.696968165,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.653671063,0.666,0.08,0,T cells c2 CD4 T regs FOXP3,TIGIT,subset,1.653671063,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.613246019,0.5,0.09,0,T cells c2 CD4 T regs FOXP3,TNFRSF18,subset,1.613246019,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.572721261,0.542,0.048,0,T cells c2 CD4 T regs FOXP3,CTLA4,subset,1.572721261,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.427063258,0.625,0.196,0,T cells c2 CD4 T regs FOXP3,CARD16,subset,1.427063258,T_cells_c2_CD4+_T-regs_FOXP3,T
0,1.408837145,0.609,0.159,0,T cells c2 CD4 T regs FOXP3,TRAC,subset,1.408837145,T_cells_c2_CD4+_T-regs_FOXP3,T
0,3.242106021,0.74,0.068,0,T cells c3 CD4 Tfh CXCL13,CXCL13,subset,3.242106021,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.699773757,0.389,0.098,0,T cells c3 CD4 Tfh CXCL13,NMB,subset,1.699773757,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.687856199,0.813,0.3,0,T cells c3 CD4 Tfh CXCL13,NR3C1,subset,1.687856199,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.397758958,0.8,0.328,0,T cells c3 CD4 Tfh CXCL13,DUSP4,subset,1.397758958,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.239712495,0.496,0.098,0,T cells c3 CD4 Tfh CXCL13,TNFRSF18,subset,1.239712495,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.232818074,0.368,0.052,0,T cells c3 CD4 Tfh CXCL13,CD200,subset,1.232818074,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.216979077,0.479,0.082,0,T cells c3 CD4 Tfh CXCL13,TNFRSF4,subset,1.216979077,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.204708662,0.69,0.229,0,T cells c3 CD4 Tfh CXCL13,ITM2A,subset,1.204708662,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.199243635,0.789,0.224,0,T cells c3 CD4 Tfh CXCL13,CD2,subset,1.199243635,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.192939924,0.975,0.55,0,T cells c3 CD4 Tfh CXCL13,SRGN,subset,1.192939924,T_cells_c3_CD4+_Tfh_CXCL13,T
0,1.767861721,0.437,0.044,0,T cells c4 CD8 ZFP36,XCL1,subset,1.767861721,T_cells_c4_CD8+_ZFP36,T
