gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength,cluster0,celltype
CCL22,0,4.508844361,0.496,0.02,0,cDC3_LAMP3,4.508844361,cDC3_LAMP3,Mye
FSCN1,0,4.390307717,0.804,0.093,0,cDC3_LAMP3,4.390307717,cDC3_LAMP3,Mye
CCL19,0,4.040890425,0.574,0.017,0,cDC3_LAMP3,4.040890425,cDC3_LAMP3,Mye
LAMP3,0,3.688877926,0.789,0.042,0,cDC3_LAMP3,3.688877926,cDC3_LAMP3,Mye
CCR7,0,3.68541506,0.698,0.033,0,cDC3_LAMP3,3.68541506,cDC3_LAMP3,Mye
MARCKSL1,0,3.580571955,0.828,0.248,0,cDC3_LAMP3,3.580571955,cDC3_LAMP3,Mye
CCL17,0,3.299977874,0.382,0.017,0,cDC3_LAMP3,3.299977874,cDC3_LAMP3,Mye
BIRC3,0,3.100029067,0.789,0.205,0,cDC3_LAMP3,3.100029067,cDC3_LAMP3,Mye
CST7,0,2.756557663,0.675,0.128,0,cDC3_LAMP3,2.756557663,cDC3_LAMP3,Mye
EBI3,0,2.588689012,0.606,0.146,0,cDC3_LAMP3,2.588689012,cDC3_LAMP3,Mye
RAMP1,0,2.166201997,0.351,0.021,0,cDC3_LAMP3,2.166201997,cDC3_LAMP3,Mye
IDO1,0,2.086460533,0.655,0.093,0,cDC3_LAMP3,2.086460533,cDC3_LAMP3,Mye
IL7R,0,2.075071534,0.589,0.118,0,cDC3_LAMP3,2.075071534,cDC3_LAMP3,Mye
NCCRP1,0,2.003104309,0.329,0,0,cDC3_LAMP3,2.003104309,cDC3_LAMP3,Mye
IL32,0,1.995764968,0.574,0.118,0,cDC3_LAMP3,1.995764968,cDC3_LAMP3,Mye
LAD1,0,1.914732954,0.529,0.005,0,cDC3_LAMP3,1.914732954,cDC3_LAMP3,Mye
TRAF1,0,1.902953893,0.648,0.117,0,cDC3_LAMP3,1.902953893,cDC3_LAMP3,Mye
DAPP1,0,1.867034523,0.701,0.203,0,cDC3_LAMP3,1.867034523,cDC3_LAMP3,Mye
CRIP1,9.349999999999999e-236,1.832537951,0.633,0.282,1.7199999999999996e-231,cDC3_LAMP3,1.832537951,cDC3_LAMP3,Mye
KIF2A,0,1.827684875,0.59,0.162,0,cDC3_LAMP3,1.827684875,cDC3_LAMP3,Mye
C1orf54,0,3.901823596,0.893,0.271,0,cDC_CLEC9A,3.901823596,cDC_CLEC9A,Mye
IDO1,0,3.884862128,0.796,0.097,0,cDC_CLEC9A,3.884862128,cDC_CLEC9A,Mye
CLEC9A,0,3.709144783,0.813,0.029,0,cDC_CLEC9A,3.709144783,cDC_CLEC9A,Mye
DNASE1L3,0,3.474886537,0.74,0.054,0,cDC_CLEC9A,3.474886537,cDC_CLEC9A,Mye
XCR1,0,3.437153073,0.573,0.001,0,cDC_CLEC9A,3.437153073,cDC_CLEC9A,Mye
S100B,0,3.396137747,0.526,0.093,0,cDC_CLEC9A,3.396137747,cDC_CLEC9A,Mye
CPVL,0,3.322989473,0.917,0.557,0,cDC_CLEC9A,3.322989473,cDC_CLEC9A,Mye
WDFY4,0,3.287893992,0.817,0.15,0,cDC_CLEC9A,3.287893992,cDC_CLEC9A,Mye
CPNE3,0,2.979715496,0.879,0.231,0,cDC_CLEC9A,2.979715496,cDC_CLEC9A,Mye
CADM1,0,2.937863723,0.621,0.107,0,cDC_CLEC9A,2.937863723,cDC_CLEC9A,Mye
ASB2,0,2.934448905,0.486,0.021,0,cDC_CLEC9A,2.934448905,cDC_CLEC9A,Mye
CCND1,0,2.906963297,0.738,0.154,0,cDC_CLEC9A,2.906963297,cDC_CLEC9A,Mye
HLA-DOB,0,2.87068232,0.612,0.061,0,cDC_CLEC9A,2.87068232,cDC_CLEC9A,Mye
