gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength
IDH2,6.52E-62,1.30288019,0.666,0.406,1.20E-57,cDC_CLEC9A,1.30288019
EHD4,1.28E-61,1.028056304,0.466,0.215,2.36E-57,cDC_CLEC9A,1.028056304
SMCO4,2.63E-61,1.167423271,0.697,0.413,4.84E-57,cDC_CLEC9A,1.167423271
BLOC1S6,7.26E-60,0.682597241,0.542,0.279,1.34E-55,cDC_CLEC9A,0.682597241
SPNS1,7.42E-60,0.4051326,0.502,0.244,1.37E-55,cDC_CLEC9A,0.4051326
GNA15,8.61E-60,0.51369948,0.573,0.301,1.59E-55,cDC_CLEC9A,0.51369948
CD48,6.56E-59,1.46453147,0.736,0.474,1.21E-54,cDC_CLEC9A,1.46453147
MAP4,1.67E-58,0.943252503,0.507,0.253,3.07E-54,cDC_CLEC9A,0.943252503
DUSP2,2.46E-58,0.728836228,0.552,0.296,4.53E-54,cDC_CLEC9A,0.728836228
FGD2,3.82E-58,1.278770674,0.616,0.339,7.03E-54,cDC_CLEC9A,1.278770674
MRPL3,3.41E-57,0.973411185,0.534,0.278,6.27E-53,cDC_CLEC9A,0.973411185
PRMT1,4.84E-57,0.908471265,0.564,0.302,8.92E-53,cDC_CLEC9A,0.908471265
PARVG,5.35E-57,1.107142927,0.711,0.445,9.85E-53,cDC_CLEC9A,1.107142927
EIF5B,6.97E-57,0.43314097,0.632,0.354,1.28E-52,cDC_CLEC9A,0.43314097
UBE2V2,1.56E-56,1.367535817,0.508,0.254,2.87E-52,cDC_CLEC9A,1.367535817
SCNM1,3.69E-56,1.32493894,0.599,0.33,6.79E-52,cDC_CLEC9A,1.32493894
NSMCE1,1.26E-55,0.5598834,0.52,0.266,2.32E-51,cDC_CLEC9A,0.5598834
PTPN2,6.46E-55,0.957074422,0.649,0.381,1.19E-50,cDC_CLEC9A,0.957074422
ITSN2,7.87E-55,0.944404044,0.657,0.381,1.45E-50,cDC_CLEC9A,0.944404044
TAF15,6.04E-54,0.729126719,0.563,0.305,1.11E-49,cDC_CLEC9A,0.729126719
PRMT2,3.47E-52,1.306786009,0.689,0.423,6.38E-48,cDC_CLEC9A,1.306786009
LASP1,1.53E-49,0.870591473,0.563,0.305,2.82E-45,cDC_CLEC9A,0.870591473
FBL,2.12E-48,0.83281731,0.599,0.343,3.91E-44,cDC_CLEC9A,0.83281731
CD52,2.29E-46,0.998185315,0.656,0.385,4.22E-42,cDC_CLEC9A,0.998185315
EZR,4.04E-46,0.246485065,0.653,0.395,7.44E-42,cDC_CLEC9A,0.246485065
UBE2J1,1.72E-45,0.276251895,0.553,0.297,3.17E-41,cDC_CLEC9A,0.276251895
PLEKHO1,6.79E-45,0.62932805,0.613,0.356,1.25E-40,cDC_CLEC9A,0.62932805
CAMTA1,3.35E-44,0.499517265,0.61,0.359,6.16E-40,cDC_CLEC9A,0.499517265
CCL22,0,4.508844361,0.496,0.02,0,cDC3_LAMP3,4.508844361
FSCN1,0,4.390307717,0.804,0.093,0,cDC3_LAMP3,4.390307717
CCL19,0,4.040890425,0.574,0.017,0,cDC3_LAMP3,4.040890425
LAMP3,0,3.688877926,0.789,0.042,0,cDC3_LAMP3,3.688877926
CCR7,0,3.68541506,0.698,0.033,0,cDC3_LAMP3,3.68541506
MARCKSL1,0,3.580571955,0.828,0.248,0,cDC3_LAMP3,3.580571955
CCL17,0,3.299977874,0.382,0.017,0,cDC3_LAMP3,3.299977874
BIRC3,0,3.100029067,0.789,0.205,0,cDC3_LAMP3,3.100029067
CST7,0,2.756557663,0.675,0.128,0,cDC3_LAMP3,2.756557663
EBI3,0,2.588689012,0.606,0.146,0,cDC3_LAMP3,2.588689012
RAMP1,0,2.166201997,0.351,0.021,0,cDC3_LAMP3,2.166201997
IDO1,0,2.086460533,0.655,0.093,0,cDC3_LAMP3,2.086460533
IL7R,0,2.075071534,0.589,0.118,0,cDC3_LAMP3,2.075071534
NCCRP1,0,2.003104309,0.329,0,0,cDC3_LAMP3,2.003104309
IL32,0,1.995764968,0.574,0.118,0,cDC3_LAMP3,1.995764968
LAD1,0,1.914732954,0.529,0.005,0,cDC3_LAMP3,1.914732954
TRAF1,0,1.902953893,0.648,0.117,0,cDC3_LAMP3,1.902953893
DAPP1,0,1.867034523,0.701,0.203,0,cDC3_LAMP3,1.867034523
KIF2A,0,1.827684875,0.59,0.162,0,cDC3_LAMP3,1.827684875
GPR157,0,1.823164516,0.587,0.046,0,cDC3_LAMP3,1.823164516
TBC1D4,0,1.739878957,0.55,0.09,0,cDC3_LAMP3,1.739878957
PPA1,0,1.713870043,0.846,0.449,0,cDC3_LAMP3,1.713870043
CLIC2,0,1.670523855,0.616,0.147,0,cDC3_LAMP3,1.670523855
RAB9A,0,1.63569174,0.633,0.229,0,cDC3_LAMP3,1.63569174
GRSF1,0,1.626224097,0.713,0.328,0,cDC3_LAMP3,1.626224097
NUB1,0,1.522422263,0.736,0.3,0,cDC3_LAMP3,1.522422263
DUSP4,0,1.519983403,0.53,0.103,0,cDC3_LAMP3,1.519983403
DUSP5,0,1.501319088,0.539,0.122,0,cDC3_LAMP3,1.501319088
ANXA6,0,1.492245885,0.594,0.213,0,cDC3_LAMP3,1.492245885
CDKN1A,0,1.468515111,0.838,0.515,0,cDC3_LAMP3,1.468515111
KDM2B,0,1.455393727,0.568,0.135,0,cDC3_LAMP3,1.455393727
CD40,0,1.439873366,0.665,0.28,0,cDC3_LAMP3,1.439873366
GADD45A,0,1.428544225,0.408,0.064,0,cDC3_LAMP3,1.428544225
CD80,0,1.405284886,0.444,0.083,0,cDC3_LAMP3,1.405284886
CD83,0,1.384272859,0.809,0.479,0,cDC3_LAMP3,1.384272859
RELB,0,1.376612187,0.657,0.232,0,cDC3_LAMP3,1.376612187
RHOF,0,1.369767129,0.613,0.144,0,cDC3_LAMP3,1.369767129
MGLL,0,1.35386423,0.572,0.145,0,cDC3_LAMP3,1.35386423
CD200,0,1.352661054,0.45,0.004,0,cDC3_LAMP3,1.352661054
LY75,0,1.288488276,0.497,0.083,0,cDC3_LAMP3,1.288488276
CALCRL,0,1.257703618,0.333,0.048,0,cDC3_LAMP3,1.257703618
POGLUT1,0,1.255357668,0.52,0.09,0,cDC3_LAMP3,1.255357668
ACHE,0,1.249640446,0.354,0.007,0,cDC3_LAMP3,1.249640446
TVP23A,0,1.214327009,0.439,0.065,0,cDC3_LAMP3,1.214327009
ADORA2A,0,1.2114255,0.336,0.021,0,cDC3_LAMP3,1.2114255
RAB8B,0,1.171885541,0.622,0.239,0,cDC3_LAMP3,1.171885541
RFTN1,0,1.150768166,0.615,0.187,0,cDC3_LAMP3,1.150768166
SINHCAF,0,1.127500768,0.36,0.079,0,cDC3_LAMP3,1.127500768
TRIP10,0,1.122451715,0.499,0.081,0,cDC3_LAMP3,1.122451715
BCL2L14,0,1.120210694,0.316,0.015,0,cDC3_LAMP3,1.120210694
NDE1,0,1.105167991,0.508,0.148,0,cDC3_LAMP3,1.105167991
NET1,0,1.054328416,0.461,0.086,0,cDC3_LAMP3,1.054328416
CRLF2,0,1.034064711,0.344,0.021,0,cDC3_LAMP3,1.034064711
GCSAM,0,1.021972828,0.303,0.016,0,cDC3_LAMP3,1.021972828
SLCO5A1,0,1.021084035,0.398,0.005,0,cDC3_LAMP3,1.021084035
MREG,0,0.98884813,0.418,0.039,0,cDC3_LAMP3,0.98884813
ARHGAP10,0,0.973645977,0.464,0.121,0,cDC3_LAMP3,0.973645977
USP12,0,0.940929318,0.455,0.09,0,cDC3_LAMP3,0.940929318
SIAH2,0,0.934885969,0.495,0.13,0,cDC3_LAMP3,0.934885969
IL15,0,0.92719268,0.463,0.118,0,cDC3_LAMP3,0.92719268
SOCS2,0,0.92591705,0.364,0.026,0,cDC3_LAMP3,0.92591705
LIMCH1,0,0.899346311,0.3,0.008,0,cDC3_LAMP3,0.899346311
CD274,0,0.898011951,0.442,0.065,0,cDC3_LAMP3,0.898011951
MAP3K14,0,0.873922879,0.407,0.057,0,cDC3_LAMP3,0.873922879
CERS6,0,0.838872581,0.493,0.132,0,cDC3_LAMP3,0.838872581
ANKRD33B,0,0.798875451,0.349,0.009,0,cDC3_LAMP3,0.798875451
TTYH2,0,0.783190527,0.388,0.088,0,cDC3_LAMP3,0.783190527
ETV3,0,0.780057736,0.508,0.135,0,cDC3_LAMP3,0.780057736
TRAFD1,0,0.77156369,0.538,0.168,0,cDC3_LAMP3,0.77156369
FLT3,0,0.768584829,0.404,0.061,0,cDC3_LAMP3,0.768584829
P2RY10,0,0.767530375,0.329,0.024,0,cDC3_LAMP3,0.767530375
CHST7,0,0.75672753,0.314,0.039,0,cDC3_LAMP3,0.75672753
HMSD,0,0.754119497,0.331,0.003,0,cDC3_LAMP3,0.754119497
ARAP2,0,0.715774671,0.402,0.094,0,cDC3_LAMP3,0.715774671
NUAK2,0,0.691368821,0.365,0.055,0,cDC3_LAMP3,0.691368821
TNFRSF9,0,0.688158418,0.321,0.026,0,cDC3_LAMP3,0.688158418
TOMM34,0,0.686821145,0.481,0.093,0,cDC3_LAMP3,0.686821145
HLA-DOB,0,0.653631421,0.33,0.063,0,cDC3_LAMP3,0.653631421
TNFRSF11A,0,0.645375909,0.31,0.048,0,cDC3_LAMP3,0.645375909
CCDC28B,0,0.608704882,0.315,0.039,0,cDC3_LAMP3,0.608704882
RAB30,0,0.590989891,0.374,0.023,0,cDC3_LAMP3,0.590989891
SPRED2,0,0.555350114,0.341,0.049,0,cDC3_LAMP3,0.555350114
HIVEP1,0,0.534489993,0.4,0.084,0,cDC3_LAMP3,0.534489993
PPP1R16B,0,0.533133043,0.307,0.032,0,cDC3_LAMP3,0.533133043
ARNTL2,0,0.526656772,0.302,0.024,0,cDC3_LAMP3,0.526656772
SEMA7A,0,0.427699037,0.308,0.048,0,cDC3_LAMP3,0.427699037
IRF4,0,0.347146616,0.451,0.081,0,cDC3_LAMP3,0.347146616
PDCD1LG2,6.35E-306,0.670825466,0.36,0.081,1.17E-301,cDC3_LAMP3,0.670825466
NAA25,2.14E-302,0.586474692,0.409,0.104,3.93E-298,cDC3_LAMP3,0.586474692
NMRK1,4.92E-297,0.634017019,0.425,0.114,9.06E-293,cDC3_LAMP3,0.634017019
RAB29,2.28E-293,0.783280577,0.409,0.107,4.20E-289,cDC3_LAMP3,0.783280577
TUBB6,4.14E-291,0.938844227,0.508,0.163,7.62E-287,cDC3_LAMP3,0.938844227
C17orf49,3.73E-284,0.545226826,0.584,0.219,6.87E-280,cDC3_LAMP3,0.545226826
MALT1,6.54E-284,1.154520222,0.514,0.169,1.20E-279,cDC3_LAMP3,1.154520222
NFKB1,9.42E-282,1.343108212,0.651,0.277,1.74E-277,cDC3_LAMP3,1.343108212
RUBCN,6.16E-281,0.623775085,0.355,0.081,1.13E-276,cDC3_LAMP3,0.623775085
NRP2,1.53E-275,1.067826702,0.548,0.199,2.81E-271,cDC3_LAMP3,1.067826702
RPS27L,6.11E-274,1.542450015,0.693,0.352,1.13E-269,cDC3_LAMP3,1.542450015
TBC1D8,7.67E-274,0.944596369,0.513,0.17,1.41E-269,cDC3_LAMP3,0.944596369
MMD,2.91E-259,0.690209856,0.409,0.114,5.36E-255,cDC3_LAMP3,0.690209856
BASP1,1.04E-258,1.251152865,0.685,0.336,1.92E-254,cDC3_LAMP3,1.251152865
REPIN1,2.06E-256,0.679545028,0.447,0.136,3.79E-252,cDC3_LAMP3,0.679545028
CFLAR,1.91E-255,0.936928085,0.794,0.503,3.52E-251,cDC3_LAMP3,0.936928085
IL2RG,1.45E-254,0.700788021,0.688,0.313,2.67E-250,cDC3_LAMP3,0.700788021
NFKB2,6.25E-251,0.900736726,0.572,0.216,1.15E-246,cDC3_LAMP3,0.900736726
STK4,3.31E-250,1.188241593,0.72,0.42,6.09E-246,cDC3_LAMP3,1.188241593
ZBTB10,1.87E-245,0.700247374,0.332,0.08,3.45E-241,cDC3_LAMP3,0.700247374
VOPP1,9.77E-244,0.891313309,0.671,0.337,1.80E-239,cDC3_LAMP3,0.891313309
IL4I1,1.72E-243,1.047112763,0.584,0.224,3.18E-239,cDC3_LAMP3,1.047112763
SNN,3.08E-241,0.638353064,0.44,0.137,5.67E-237,cDC3_LAMP3,0.638353064
MCOLN2,3.38E-241,0.741115716,0.387,0.109,6.22E-237,cDC3_LAMP3,0.741115716
LRRFIP2,4.60E-239,0.706776048,0.589,0.242,8.47E-235,cDC3_LAMP3,0.706776048
CRIP1,9.35E-236,1.832537951,0.633,0.282,1.72E-231,cDC3_LAMP3,1.832537951
ADAM19,1.35E-235,0.279742432,0.378,0.101,2.49E-231,cDC3_LAMP3,0.279742432
FNBP1,3.44E-235,1.040685415,0.723,0.424,6.34E-231,cDC3_LAMP3,1.040685415
GPR132,4.91E-235,0.628877639,0.426,0.127,9.05E-231,cDC3_LAMP3,0.628877639
NAV1,5.21E-233,0.598837259,0.381,0.105,9.60E-229,cDC3_LAMP3,0.598837259
MAP3K13,1.88E-229,0.785969509,0.524,0.203,3.47E-225,cDC3_LAMP3,0.785969509
PTPN1,5.03E-228,1.080944665,0.702,0.392,9.26E-224,cDC3_LAMP3,1.080944665
GPR137B,1.10E-225,1.224350967,0.62,0.288,2.02E-221,cDC3_LAMP3,1.224350967
RAB5B,2.83E-224,0.791080149,0.503,0.186,5.20E-220,cDC3_LAMP3,0.791080149
SNX11,5.01E-224,0.75725536,0.379,0.111,9.22E-220,cDC3_LAMP3,0.75725536
TSPAN33,7.41E-218,0.592435692,0.355,0.099,1.36E-213,cDC3_LAMP3,0.592435692
PPM1K,4.32E-215,0.286185695,0.446,0.147,7.96E-211,cDC3_LAMP3,0.286185695
TUBA1C,3.06E-211,1.37885266,0.667,0.37,5.63E-207,cDC3_LAMP3,1.37885266
CSF2RA,5.79E-211,1.124404238,0.702,0.408,1.07E-206,cDC3_LAMP3,1.124404238
ANTXR2,2.25E-204,0.350371704,0.442,0.148,4.14E-200,cDC3_LAMP3,0.350371704
DCAF6,1.61E-203,0.550677912,0.438,0.147,2.97E-199,cDC3_LAMP3,0.550677912
CHD3,2.34E-202,0.515651983,0.417,0.135,4.31E-198,cDC3_LAMP3,0.515651983
HAPLN3,6.53E-201,0.581907155,0.359,0.107,1.20E-196,cDC3_LAMP3,0.581907155
CYTIP,9.46E-200,0.628105666,0.69,0.382,1.74E-195,cDC3_LAMP3,0.628105666
TBC1D10A,1.41E-195,0.314874537,0.373,0.113,2.60E-191,cDC3_LAMP3,0.314874537
TNIP2,3.30E-193,0.941074039,0.471,0.176,6.07E-189,cDC3_LAMP3,0.941074039
MYO1G,4.38E-191,0.695578928,0.598,0.274,8.07E-187,cDC3_LAMP3,0.695578928
GRAMD1A,2.89E-182,0.710005486,0.453,0.174,5.31E-178,cDC3_LAMP3,0.710005486
CEP350,6.58E-181,0.844080461,0.581,0.281,1.21E-176,cDC3_LAMP3,0.844080461
RUFY3,9.86E-181,0.436535889,0.38,0.123,1.82E-176,cDC3_LAMP3,0.436535889
FYTTD1,1.95E-180,0.502738664,0.539,0.239,3.59E-176,cDC3_LAMP3,0.502738664
ASMTL,3.34E-179,0.715962326,0.38,0.127,6.15E-175,cDC3_LAMP3,0.715962326
FAM118A,1.26E-178,0.791386257,0.442,0.16,2.33E-174,cDC3_LAMP3,0.791386257
SOCS1,2.24E-178,0.739201321,0.491,0.195,4.13E-174,cDC3_LAMP3,0.739201321
LYST,3.22E-177,0.466128164,0.529,0.221,5.93E-173,cDC3_LAMP3,0.466128164
TRADD,2.16E-170,0.605608148,0.534,0.237,3.98E-166,cDC3_LAMP3,0.605608148
BIRC2,1.86E-158,0.534098802,0.49,0.206,3.42E-154,cDC3_LAMP3,0.534098802
LMNB1,3.71E-158,0.567951979,0.403,0.148,6.84E-154,cDC3_LAMP3,0.567951979
CYB5A,4.95E-158,0.741821054,0.514,0.232,9.12E-154,cDC3_LAMP3,0.741821054
CYTH1,1.43E-157,0.542713269,0.613,0.318,2.63E-153,cDC3_LAMP3,0.542713269
NABP1,2.08E-156,0.849982082,0.614,0.331,3.84E-152,cDC3_LAMP3,0.849982082
GLS,1.43E-155,0.693419248,0.466,0.196,2.63E-151,cDC3_LAMP3,0.693419248
PTMS,1.76E-146,0.824425861,0.633,0.354,3.24E-142,cDC3_LAMP3,0.824425861
PTGES2,2.90E-144,0.564293026,0.478,0.213,5.33E-140,cDC3_LAMP3,0.564293026
GPBP1,4.60E-143,0.555977389,0.615,0.336,8.47E-139,cDC3_LAMP3,0.555977389
RPL14,8.84E-142,0.384603866,0.794,0.535,1.63E-137,cDC3_LAMP3,0.384603866
RPS19,3.35E-140,0.270034092,0.821,0.568,6.17E-136,cDC3_LAMP3,0.270034092
ARPP19,5.32E-131,0.592900312,0.526,0.261,9.80E-127,cDC3_LAMP3,0.592900312
STARD7,1.26E-129,0.630682044,0.554,0.298,2.33E-125,cDC3_LAMP3,0.630682044
ANXA7,9.20E-125,0.638846102,0.627,0.365,1.69E-120,cDC3_LAMP3,0.638846102
BCL3,1.49E-123,0.571590509,0.466,0.21,2.75E-119,cDC3_LAMP3,0.571590509
RNF145,4.27E-123,0.67715113,0.54,0.267,7.87E-119,cDC3_LAMP3,0.67715113
PIM3,4.18E-121,0.795036061,0.536,0.278,7.70E-117,cDC3_LAMP3,0.795036061
TNFAIP8,1.80E-116,0.590453239,0.583,0.328,3.31E-112,cDC3_LAMP3,0.590453239
KYNU,8.87E-112,0.565457361,0.565,0.308,1.63E-107,cDC3_LAMP3,0.565457361
ATF5,1.21E-110,0.697326407,0.614,0.353,2.23E-106,cDC3_LAMP3,0.697326407
TNIP1,8.51E-107,0.320282947,0.601,0.338,1.57E-102,cDC3_LAMP3,0.320282947
NME2,9.14E-87,0.561615056,0.614,0.351,1.68E-82,cDC3_LAMP3,0.561615056
APOE,0,2.024185079,0.934,0.437,0,Macro_FOLR2-APOE+,2.024185079
APOC1,0,1.836488075,0.917,0.44,0,Macro_FOLR2-APOE+,1.836488075
TREM2,0,1.363859461,0.869,0.331,0,Macro_FOLR2-APOE+,1.363859461
NUPR1,0,1.232917767,0.613,0.151,0,Macro_FOLR2-APOE+,1.232917767
MTRNR2L8,0,1.232088396,0.699,0.398,0,Macro_FOLR2-APOE+,1.232088396
RNASE1,0,1.206205809,0.668,0.208,0,Macro_FOLR2-APOE+,1.206205809
GPNMB,0,0.956335521,0.802,0.258,0,Macro_FOLR2-APOE+,0.956335521
PDK4,0,0.849671485,0.633,0.258,0,Macro_FOLR2-APOE+,0.849671485
KCNMA1,0,0.84878049,0.593,0.206,0,Macro_FOLR2-APOE+,0.84878049
LPL,0,0.83823958,0.308,0.032,0,Macro_FOLR2-APOE+,0.83823958
CFD,0,0.823814117,0.817,0.521,0,Macro_FOLR2-APOE+,0.823814117
RHOB,0,0.815223003,0.79,0.501,0,Macro_FOLR2-APOE+,0.815223003
A2M,0,0.809640548,0.809,0.321,0,Macro_FOLR2-APOE+,0.809640548
C1QC,0,0.795708474,0.959,0.478,0,Macro_FOLR2-APOE+,0.795708474
DAB2,0,0.722958262,0.829,0.369,0,Macro_FOLR2-APOE+,0.722958262
GPX1,0,0.643684749,0.8,0.508,0,Macro_FOLR2-APOE+,0.643684749
MAFB,0,0.643064039,0.893,0.545,0,Macro_FOLR2-APOE+,0.643064039
CD81,0,0.614659323,0.777,0.41,0,Macro_FOLR2-APOE+,0.614659323
ADORA3,0,0.606755213,0.544,0.217,0,Macro_FOLR2-APOE+,0.606755213
GPR34,0,0.605843458,0.608,0.257,0,Macro_FOLR2-APOE+,0.605843458
C3,0,0.593908115,0.767,0.321,0,Macro_FOLR2-APOE+,0.593908115
SCD,0,0.590088557,0.387,0.11,0,Macro_FOLR2-APOE+,0.590088557
LIPA,0,0.566766619,0.844,0.445,0,Macro_FOLR2-APOE+,0.566766619
CPM,0,0.512727901,0.661,0.322,0,Macro_FOLR2-APOE+,0.512727901
PLTP,0,0.491809995,0.732,0.263,0,Macro_FOLR2-APOE+,0.491809995
AKR1B1,0,0.483477096,0.768,0.419,0,Macro_FOLR2-APOE+,0.483477096
C1QA,0,0.452044569,0.958,0.502,0,Macro_FOLR2-APOE+,0.452044569
SLC1A3,0,0.438568324,0.66,0.314,0,Macro_FOLR2-APOE+,0.438568324
ABHD12,0,0.424827079,0.638,0.337,0,Macro_FOLR2-APOE+,0.424827079
HMOX1,0,0.406092844,0.797,0.504,0,Macro_FOLR2-APOE+,0.406092844
CD9,0,0.392655925,0.834,0.428,0,Macro_FOLR2-APOE+,0.392655925
MSR1,0,0.388645313,0.723,0.325,0,Macro_FOLR2-APOE+,0.388645313
VAT1,0,0.38391703,0.474,0.197,0,Macro_FOLR2-APOE+,0.38391703
DNASE2,0,0.373262717,0.634,0.323,0,Macro_FOLR2-APOE+,0.373262717
GYPC,0,0.369822272,0.522,0.265,0,Macro_FOLR2-APOE+,0.369822272
TIMP2,0,0.367098797,0.582,0.325,0,Macro_FOLR2-APOE+,0.367098797
SLCO2B1,0,0.357386826,0.716,0.313,0,Macro_FOLR2-APOE+,0.357386826
C1QB,0,0.322576219,0.951,0.48,0,Macro_FOLR2-APOE+,0.322576219
LHFPL2,0,0.315948701,0.5,0.248,0,Macro_FOLR2-APOE+,0.315948701
MERTK,0,0.30869994,0.428,0.153,0,Macro_FOLR2-APOE+,0.30869994
TSPAN4,0,0.298140301,0.557,0.25,0,Macro_FOLR2-APOE+,0.298140301
AP1B1,0,0.295201179,0.645,0.353,0,Macro_FOLR2-APOE+,0.295201179
LRP1,0,0.284675113,0.679,0.38,0,Macro_FOLR2-APOE+,0.284675113
FUCA1,0,0.261930373,0.513,0.207,0,Macro_FOLR2-APOE+,0.261930373
PLXDC2,0,0.254991136,0.811,0.5,0,Macro_FOLR2-APOE+,0.254991136
ADAP2,0,0.238000369,0.676,0.407,0,Macro_FOLR2-APOE+,0.238000369
CD84,0,0.222835639,0.649,0.35,0,Macro_FOLR2-APOE+,0.222835639
PLD3,0,0.211079475,0.802,0.463,0,Macro_FOLR2-APOE+,0.211079475
YWHAH,0,0.20460246,0.757,0.495,0,Macro_FOLR2-APOE+,0.20460246
PMP22,0,0.182161822,0.546,0.233,0,Macro_FOLR2-APOE+,0.182161822
ACP5,0,0.15459581,0.637,0.361,0,Macro_FOLR2-APOE+,0.15459581
MARCKS,2.93E-225,0.167730843,0.747,0.497,5.40E-221,Macro_FOLR2-APOE+,0.167730843
SELENOP,3.95E-218,3.317492146,0.46,0.088,7.27E-214,Macro_FOLR2+APOE-,3.317492146
C1QC,2.60E-118,1.062039138,0.951,0.541,4.79E-114,Macro_FOLR2+APOE-,1.062039138
C1QA,1.28E-116,1.007198763,0.953,0.562,2.36E-112,Macro_FOLR2+APOE-,1.007198763
SLC40A1,6.26E-106,2.180391466,0.548,0.227,1.15E-101,Macro_FOLR2+APOE-,2.180391466
RNASE1,8.08E-102,1.264429869,0.631,0.268,1.49E-97,Macro_FOLR2+APOE-,1.264429869
C1QB,1.59E-99,0.768041441,0.953,0.541,2.92E-95,Macro_FOLR2+APOE-,0.768041441
FOLR2,3.29E-98,1.500153516,0.476,0.177,6.07E-94,Macro_FOLR2+APOE-,1.500153516
PLTP,5.80E-71,1.376890952,0.586,0.326,1.07E-66,Macro_FOLR2+APOE-,1.376890952
F13A1,1.24E-68,1.406187662,0.484,0.229,2.28E-64,Macro_FOLR2+APOE-,1.406187662
CTSZ,1.34E-08,0.169749013,0.397,0.655,2.47E-04,Macro_FOLR2+APOE-,0.169749013
GPNMB,0,2.797657357,0.929,0.318,0,Macro_FOLR2+APOE+,2.797657357
CCL18,0,2.775104039,0.346,0.045,0,Macro_FOLR2+APOE+,2.775104039
CXCL9,0,2.456188923,0.714,0.142,0,Macro_FOLR2+APOE+,2.456188923
NR1H3,0,2.439949298,0.743,0.133,0,Macro_FOLR2+APOE+,2.439949298
LGMN,0,2.43445078,0.93,0.394,0,Macro_FOLR2+APOE+,2.43445078
ACP5,0,2.394013419,0.876,0.386,0,Macro_FOLR2+APOE+,2.394013419
C1QB,0,2.33502664,0.986,0.533,0,Macro_FOLR2+APOE+,2.33502664
C1QA,0,2.216352953,0.987,0.554,0,Macro_FOLR2+APOE+,2.216352953
CYP27A1,0,2.188572931,0.446,0.085,0,Macro_FOLR2+APOE+,2.188572931
TMEM176B,0,2.047320143,0.98,0.522,0,Macro_FOLR2+APOE+,2.047320143
APOC1,0,2.034405306,0.962,0.494,0,Macro_FOLR2+APOE+,2.034405306
PLD3,0,1.914459132,0.975,0.497,0,Macro_FOLR2+APOE+,1.914459132
PLA2G7,0,1.837581123,0.661,0.182,0,Macro_FOLR2+APOE+,1.837581123
C1QC,0,1.835649259,0.988,0.533,0,Macro_FOLR2+APOE+,1.835649259
CTSL,0,1.820585164,0.969,0.506,0,Macro_FOLR2+APOE+,1.820585164
ADAMDEC1,0,1.792214722,0.641,0.075,0,Macro_FOLR2+APOE+,1.792214722
CTSC,0,1.732711606,0.991,0.669,0,Macro_FOLR2+APOE+,1.732711606
APOE,0,1.730367979,0.97,0.493,0,Macro_FOLR2+APOE+,1.730367979
ACP2,0,1.72871592,0.833,0.241,0,Macro_FOLR2+APOE+,1.72871592
C2,0,1.71212837,0.738,0.146,0,Macro_FOLR2+APOE+,1.71212837
LGALS3BP,0,1.702618755,0.817,0.305,0,Macro_FOLR2+APOE+,1.702618755
DNASE2,0,1.68989939,0.864,0.353,0,Macro_FOLR2+APOE+,1.68989939
MMP9,0,1.634955647,0.468,0.097,0,Macro_FOLR2+APOE+,1.634955647
SERPING1,0,1.599804527,0.938,0.381,0,Macro_FOLR2+APOE+,1.599804527
TMEM176A,0,1.596667539,0.964,0.434,0,Macro_FOLR2+APOE+,1.596667539
CREG1,0,1.585311487,0.956,0.5,0,Macro_FOLR2+APOE+,1.585311487
SCPEP1,0,1.580003481,0.889,0.394,0,Macro_FOLR2+APOE+,1.580003481
NPL,0,1.54066617,0.78,0.243,0,Macro_FOLR2+APOE+,1.54066617
TSPAN4,0,1.484359763,0.814,0.278,0,Macro_FOLR2+APOE+,1.484359763
GM2A,0,1.40155266,0.885,0.36,0,Macro_FOLR2+APOE+,1.40155266
FUCA1,0,1.383568459,0.736,0.236,0,Macro_FOLR2+APOE+,1.383568459
ATOX1,0,1.353565737,0.947,0.565,0,Macro_FOLR2+APOE+,1.353565737
CTSZ,0,1.264468238,0.965,0.643,0,Macro_FOLR2+APOE+,1.264468238
RARRES1,0,1.234730144,0.449,0.043,0,Macro_FOLR2+APOE+,1.234730144
TCN2,0,1.221955352,0.786,0.203,0,Macro_FOLR2+APOE+,1.221955352
ALDH1A1,0,1.216484054,0.624,0.187,0,Macro_FOLR2+APOE+,1.216484054
HSD17B14,0,1.193610981,0.426,0.089,0,Macro_FOLR2+APOE+,1.193610981
CMKLR1,0,1.175715899,0.623,0.135,0,Macro_FOLR2+APOE+,1.175715899
CD38,0,1.085531133,0.62,0.173,0,Macro_FOLR2+APOE+,1.085531133
SLC7A8,0,1.080351724,0.346,0.061,0,Macro_FOLR2+APOE+,1.080351724
SDC3,0,0.989552334,0.61,0.139,0,Macro_FOLR2+APOE+,0.989552334
KCNMA1,0,0.943668737,0.745,0.246,0,Macro_FOLR2+APOE+,0.943668737
LAMP1,0,0.892464823,0.885,0.383,0,Macro_FOLR2+APOE+,0.892464823
TMEM37,0,0.877974935,0.446,0.093,0,Macro_FOLR2+APOE+,0.877974935
MMP14,0,0.829979533,0.693,0.211,0,Macro_FOLR2+APOE+,0.829979533
IL32,0,0.764575199,0.533,0.12,0,Macro_FOLR2+APOE+,0.764575199
FAM20A,0,0.732059448,0.422,0.09,0,Macro_FOLR2+APOE+,0.732059448
ADA2,0,0.650514785,0.687,0.216,0,Macro_FOLR2+APOE+,0.650514785
